        		 phi			           kx			              ky			        	gamma		      	  error
             0.000000e+00              0.000000e+00              3.141272e+00              3.667347e-03               2.537123e-05
             4.027683e-02              1.247389e-01              3.095364e+00              3.104412e-03               3.771927e-05
             8.055366e-02              2.462240e-01              3.050031e+00              2.671126e-03               3.468967e-05
             1.208305e-01              3.648915e-01              3.005152e+00              2.370753e-03               3.134196e-05
             1.611073e-01              4.811013e-01              2.960335e+00              2.148467e-03               2.952081e-05
             2.013841e-01              5.951466e-01              2.915221e+00              1.972609e-03               2.672525e-05
             2.416610e-01              7.072604e-01              2.869468e+00              1.827693e-03               2.590739e-05
             2.819378e-01              8.176185e-01              2.822746e+00              1.708443e-03               2.600561e-05
             3.222146e-01              9.263409e-01              2.774730e+00              1.606868e-03               2.598043e-05
             3.624915e-01              1.033491e+00              2.725093e+00              1.501401e-03               2.757679e-05
             4.027683e-01              1.139075e+00              2.673508e+00              1.392687e-03               2.850298e-05
             4.430451e-01              1.243038e+00              2.619648e+00              1.262461e-03               3.746210e-05
             4.833219e-01              1.345265e+00              2.563188e+00              1.172656e-03               2.932212e-05
             5.235988e-01              1.445579e+00              2.503816e+00              1.073573e-03               3.347712e-05
             5.638756e-01              1.543745e+00              2.441238e+00              9.884594e-04               2.561445e-05
             6.041524e-01              1.639479e+00              2.375196e+00              9.118784e-04               2.491974e-05
             6.444293e-01              1.732458e+00              2.305483e+00              8.465288e-04               2.512006e-05
             6.847061e-01              1.822338e+00              2.231959e+00              7.891673e-04               2.277198e-05
             7.249829e-01              1.908778e+00              2.154565e+00              7.343749e-04               2.192729e-05
             7.652597e-01              1.991463e+00              2.073332e+00              6.999234e-04               2.007622e-05
             8.055366e-01              2.070129e+00              1.988386e+00              6.723974e-04               1.976432e-05
             8.458134e-01              2.144583e+00              1.899935e+00              6.522939e-04               1.913305e-05
             8.860902e-01              2.214711e+00              1.808255e+00              6.328722e-04               2.013350e-05
             9.263671e-01              2.280482e+00              1.713671e+00              6.255110e-04               1.707755e-05
             9.666439e-01              2.341942e+00              1.616526e+00              6.137566e-04               1.995988e-05
             1.006921e+00              2.399197e+00              1.517160e+00              6.109275e-04               2.407073e-05
             1.047198e+00              2.452393e+00              1.415890e+00              6.789336e-04               2.130110e-05
             1.087474e+00              2.501698e+00              1.312992e+00              7.187217e-04               2.116580e-05
             1.127751e+00              2.547281e+00              1.208700e+00              7.416775e-04               2.200606e-05
             1.168028e+00              2.589291e+00              1.103194e+00              7.723308e-04               2.204764e-05
             1.208305e+00              2.627842e+00              9.966091e-01              7.948270e-04               2.312418e-05
             1.248582e+00              2.662999e+00              8.890397e-01              8.091629e-04               2.335981e-05
             1.288859e+00              2.694762e+00              7.805472e-01              8.239938e-04               2.448307e-05
             1.329135e+00              2.723056e+00              6.711731e-01              8.421208e-04               2.543301e-05
             1.369412e+00              2.747731e+00              5.609534e-01              8.707369e-04               2.469261e-05
             1.409689e+00              2.768557e+00              4.499344e-01              8.892530e-04               3.314550e-05
             1.449966e+00              2.785244e+00              3.381899e-01              9.304676e-04               2.613241e-05
             1.490243e+00              2.797474e+00              2.258355e-01              9.554439e-04               2.558171e-05
             1.530519e+00              2.804954e+00              1.130358e-01              9.685802e-04               2.615958e-05
             1.570796e+00              2.807473e+00              1.719081e-16              9.844462e-04               2.323089e-05

