		phi			    kx			      ky   		      Gamma			 error
             0.000000e+00              0.000000e+00              2.919036e+00              8.092606e-04               1.186700e-05
             4.027683e-02              1.174681e-01              2.914942e+00              8.035422e-04               1.246778e-05
             8.055366e-02              2.343594e-01              2.903063e+00              7.884637e-04               1.134061e-05
             1.208305e-01              3.502300e-01              2.884404e+00              7.653989e-04               1.026996e-05
             1.611073e-01              4.648197e-01              2.860151e+00              7.369117e-04               1.038522e-05
             2.013841e-01              5.780235e-01              2.831346e+00              7.046009e-04               1.029897e-05
             2.416610e-01              6.898316e-01              2.798757e+00              6.707769e-04               1.042884e-05
             2.819378e-01              8.002767e-01              2.762876e+00              6.361501e-04               1.038418e-05
             3.222146e-01              9.093963e-01              2.723975e+00              6.032664e-04               1.013629e-05
             3.624915e-01              1.017208e+00              2.682157e+00              5.759343e-04               9.526201e-06
             4.027683e-01              1.123693e+00              2.637405e+00              5.493766e-04               9.393335e-06
             4.430451e-01              1.228789e+00              2.589618e+00              5.216508e-04               1.043696e-05
             4.833219e-01              1.332378e+00              2.538634e+00              4.944510e-04               1.157866e-05
             5.235988e-01              1.434289e+00              2.484261e+00              4.614811e-04               8.637389e-06
             5.638756e-01              1.534294e+00              2.426291e+00              4.356226e-04               3.723299e-06
             6.041524e-01              1.632115e+00              2.364526e+00              4.123423e-04               8.118141e-06
             6.444293e-01              1.727435e+00              2.298798e+00              4.024060e-04               8.133609e-06
             6.847061e-01              1.819913e+00              2.228988e+00              4.053181e-04               8.049715e-06
             7.249829e-01              1.909206e+00              2.155048e+00              4.256894e-04               8.238478e-06
             7.652597e-01              1.994996e+00              2.077011e+00              4.389280e-04               8.456017e-06
             8.055366e-01              2.077011e+00              1.994996e+00              4.389280e-04               8.394743e-06
             8.458134e-01              2.155048e+00              1.909206e+00              4.256894e-04               8.452959e-06
             8.860902e-01              2.228988e+00              1.819913e+00              4.053181e-04               7.777065e-06
             9.263671e-01              2.298798e+00              1.727435e+00              4.024060e-04               8.595416e-06
             9.666439e-01              2.364526e+00              1.632115e+00              4.123423e-04               8.703563e-06
             1.006921e+00              2.426291e+00              1.534294e+00              4.356226e-04               8.210351e-06
             1.047198e+00              2.484261e+00              1.434289e+00              4.614811e-04               8.552282e-06
             1.087474e+00              2.538634e+00              1.332378e+00              4.944510e-04               8.968837e-06
             1.127751e+00              2.589618e+00              1.228789e+00              5.216508e-04               9.115502e-06
             1.168028e+00              2.637405e+00              1.123693e+00              5.493766e-04               9.667438e-06
             1.208305e+00              2.682157e+00              1.017208e+00              5.759343e-04               9.663954e-06
             1.248582e+00              2.723975e+00              9.093963e-01              6.032664e-04               9.636136e-06
             1.288859e+00              2.762876e+00              8.002767e-01              6.361501e-04               1.011867e-05
             1.329135e+00              2.798757e+00              6.898316e-01              6.707769e-04               1.010752e-05
             1.369412e+00              2.831346e+00              5.780235e-01              7.046009e-04               1.040569e-05
             1.409689e+00              2.860151e+00              4.648197e-01              7.369117e-04               1.076680e-05
             1.449966e+00              2.884404e+00              3.502300e-01              7.653989e-04               1.108921e-05
             1.490243e+00              2.903063e+00              2.343594e-01              7.884637e-04               1.134409e-05
             1.530519e+00              2.914942e+00              1.174681e-01              8.035422e-04               1.142751e-05
             1.570796e+00              2.919036e+00              1.787394e-16              8.092606e-04               1.165341e-05
