    T (K)              \Gamma(\phi=0) (eV)             err              \Gamma(\phi=pi/4) (eV)            err
1.160600e+00              4.396822e-04             2.721275e-06             2.015632e-05             1.228221e-06
1.472756e+00              5.541393e-04             3.579527e-06             2.963521e-05             1.599360e-06
1.868870e+00              6.992498e-04             7.950981e-06             4.279473e-05             2.493260e-06
2.371523e+00              8.834503e-04             5.566539e-06             6.312793e-05             3.493508e-06
3.009371e+00              1.106245e-03             9.738906e-06             9.330429e-05             4.624526e-06
3.818774e+00              1.405395e-03             9.207970e-06             1.383246e-04             5.830632e-06
4.845875e+00              1.779877e-03             1.377170e-05             2.049139e-04             8.238664e-06
6.149227e+00              2.261453e-03             1.715254e-05             3.049438e-04             1.161840e-05
7.803129e+00              2.872173e-03             2.492143e-05             4.555149e-04             1.614910e-05
9.901866e+00              3.662331e-03             3.125417e-05             6.823797e-04             2.351649e-05
1.256508e+01              4.679967e-03             3.499812e-05             1.014810e-03             3.427941e-05
1.594460e+01              5.992389e-03             6.030281e-05             1.508814e-03             4.853995e-05
2.023307e+01              7.719219e-03             8.325050e-05             2.244343e-03             7.149567e-05
2.567498e+01              1.000352e-02             1.175675e-04             3.343112e-03             1.021360e-04
3.258055e+01              1.305988e-02             1.702621e-04             4.980668e-03             1.524406e-04
4.134345e+01              1.724072e-02             2.395520e-04             7.470305e-03             2.222437e-04
5.246322e+01              2.299494e-02             3.556837e-04             1.126102e-02             3.347712e-04
6.657379e+01              3.100191e-02             5.021351e-04             1.707802e-02             4.881665e-04
8.447954e+01              4.209792e-02             7.169728e-04             2.592423e-02             7.034261e-04
1.072012e+02              5.735146e-02             9.514640e-04             3.906314e-02             1.021258e-03
1.360342e+02              7.800963e-02             1.229191e-03             5.824736e-02             1.402332e-03
1.726221e+02              1.058052e-01             1.559576e-03             8.550355e-02             1.907403e-03
2.190507e+02              1.428848e-01             1.779260e-03             1.229979e-01             2.525579e-03
2.779668e+02              1.910407e-01             1.901641e-03             1.723664e-01             3.010497e-03
3.527290e+02              2.499966e-01             1.306865e-03             2.328117e-01             3.153026e-03
4.475994e+02              3.165549e-01             1.430562e-03             3.003632e-01             2.497400e-03
5.679861e+02              3.832778e-01             4.352860e-03             3.691331e-01             9.390095e-04
7.207523e+02              4.445194e-01             8.206641e-03             4.341473e-01             3.479261e-03
9.146065e+02              4.962294e-01             1.241289e-02             4.904980e-01             7.639499e-03
1.160600e+03              5.379853e-01             1.698723e-02             5.375861e-01             1.275967e-02
