    T (K)              \Gamma(\phi=0) (eV)             err              \Gamma(\phi=pi/4) (eV)            err
1.160600e+00              1.320445e-05             1.720398e-06             4.568594e-06             1.102917e-06
1.472756e+00              1.764360e-05             1.698903e-06             7.581255e-06             1.407683e-06
1.868870e+00              2.914882e-05             2.171524e-06             1.265979e-05             1.798552e-06
2.371523e+00              4.702887e-05             3.334858e-06             2.056444e-05             2.328916e-06
3.009371e+00              7.724083e-05             4.083954e-06             3.296018e-05             3.433101e-06
3.818774e+00              1.314863e-04             6.958290e-06             5.798525e-05             4.087331e-06
4.845875e+00              2.002380e-04             8.786768e-06             9.555837e-05             6.251589e-06
6.149227e+00              3.205044e-04             1.101254e-05             1.596171e-04             9.189346e-06
7.803129e+00              5.094516e-04             1.776879e-05             2.647346e-04             1.373894e-05
9.901866e+00              8.076770e-04             2.701800e-05             4.354960e-04             2.075415e-05
1.256508e+01              1.287514e-03             4.172705e-05             7.098049e-04             3.111636e-05
1.594460e+01              2.066564e-03             6.493339e-05             1.156289e-03             4.826618e-05
2.023307e+01              3.354978e-03             1.021461e-04             1.892564e-03             7.484764e-05
2.567498e+01              5.488443e-03             1.598400e-04             3.108064e-03             1.148842e-04
3.258055e+01              8.938565e-03             2.468853e-04             5.072082e-03             1.954873e-04
4.134345e+01              1.424810e-02             3.711602e-04             8.238708e-03             2.267820e-04
5.246322e+01              2.197851e-02             5.315221e-04             1.291650e-02             4.074453e-04
6.657379e+01              3.260808e-02             7.426677e-04             1.994311e-02             5.754194e-04
8.447954e+01              4.673655e-02             9.433271e-04             3.007827e-02             8.016817e-04
1.072012e+02              6.510931e-02             1.178005e-03             4.449484e-02             1.114382e-03
1.360342e+02              8.900247e-02             1.389765e-03             6.480442e-02             1.534417e-03
1.726221e+02              1.201540e-01             1.567346e-03             9.315126e-02             2.046943e-03
2.190507e+02              1.609349e-01             1.542316e-03             1.366890e-01             3.232876e-03
2.779668e+02              2.128931e-01             1.078269e-03             1.819379e-01             3.173128e-03
3.527290e+02              2.756678e-01             1.231228e-03             2.429445e-01             3.242059e-03
4.475994e+02              3.437041e-01             3.773644e-03             3.104894e-01             2.572231e-03
5.679861e+02              4.106732e-01             7.312117e-03             3.791113e-01             9.596084e-04
7.207523e+02              4.704608e-01             1.142626e-02             4.433363e-01             3.733549e-03
9.146065e+02              5.199737e-01             1.578789e-02             4.989786e-01             8.063969e-03
1.160600e+03              5.589811e-01             2.018615e-02             5.453652e-01             1.333873e-02

